Category,Challenge,Prompt,Authenticity score
Fine-grained Detail,Food & Beverage,a bloody mary cocktail next to a napkin,36.978633880615234
Linguistic Structures,Animals,A bird gives an apple to a squirrel,48.49447250366211
Perspective,Produce & Plants,a cross-section view of a walnut,40.44449234008789
Perspective,Indoor Scenes,an aerial view of a dining room,56.5778923034668
Basic,Illustrations,a book cover,52.377967834472656
Linguistic Structures,Food & Beverage,a plate that has no bananas on it. there is a glass without orange juice next to it.,60.543575286865234
Quantity,People,three children on a couch,40.842716217041016
Basic,World Knowledge,a photo of san francisco's golden gate bridge,56.43806838989258
Perspective,People,two people facing each other,58.85997009277344
Perspective,Animals,view of a giraffe and a zebra in the middle of a field,41.69642639160156
Basic,Vehicles,a boat,66.98941802978516
Perspective,Outdoor Scenes,an aerial photo of a sandy island in the ocean,54.902835845947266
Simple Detail,Outdoor Scenes,Sunset over the sea,57.58268356323242
Simple Detail,Outdoor Scenes,Sunset over the sea,48.04806137084961
Basic,Animals,a corgi,47.24654006958008
Simple Detail,World Knowledge,a boat in the canals of venice,57.31662368774414
Fine-grained Detail,Vehicles,a large white yacht in a calm bay on a sunny day,63.280845642089844
Linguistic Structures,Indoor Scenes,a kitchen without a refrigerator,43.0211181640625
Quantity,Indoor Scenes,two pianos next to each other,51.03401565551758
Basic,Indoor Scenes,a kitchen,48.32438278198242
Perspective,Food & Beverage,a close-up of an old-fashioned cocktail,60.111106872558594
Quantity,People,three children on a couch,50.623939514160156
Linguistic Structures,Produce & Plants,a banana without its peel,54.751216888427734
Basic,Vehicles,a boat,54.32731628417969
Fine-grained Detail,People,a library filled with kids reading books,51.16670608520508
Basic,Vehicles,a boat,43.1158447265625
Linguistic Structures,People,a classroom without any students,54.73134231567383
Perspective,Artifacts,view of a clock tower from above,55.68779373168945
Simple Detail,World Knowledge,a boat in the canals of venice,61.72724151611328
Perspective,World Knowledge,an aerial view of the Great Wall,41.01689910888672
Quantity,People,three children on a couch,32.810585021972656
Basic,World Knowledge,a photo of san francisco's golden gate bridge,64.0991439819336
Perspective,Animals,view of a giraffe and a zebra in the middle of a field,47.93700408935547
Perspective,Indoor Scenes,an aerial view of a dining room,51.3419075012207
Linguistic Structures,World Knowledge,An aerial view of Ha Long Bay without any boats,50.79591369628906
Linguistic Structures,Indoor Scenes,a kitchen without a refrigerator,70.2623062133789
